STAID,BFI5,DFI90,fdc_b,fdc_b_l,fdc_b_u,peak_event,low_event,max_flow,min_flow,annual_temp,meanPET,meanP,rc,aridity,DRAIN_SQKM,LAT,LON,snow_frac,drain_mm2,max_pptseason,min_pptseason,fall_cv,spring_cv,summer_cv,winter_cv,annual_cv,ELEV_MEAN_M_BASIN,SLOPE_PCT
01452000,0.405274641877129,0.0953221330961405,2.75620695227461,7.19654253423902,12.7067825707403,fall,summer,spring,summer,10.3662317170898,703.915035851125,1272.85596736868,0.465782126245038,0.553020179735103,196.6,40.623153,-75.482405,0.129485698903456,196600000000000,summer,winter,2.45604447056374,1.40614669323405,2.20494303464084,1.40982078138926,1.78416503632932,188.2,7.5
01465798,0.259789928412225,0.0948572412412954,2.17257317028377,11.0673129383205,15.4052196474402,fall,summer,spring,fall,12.5702499655712,799.661012808372,1229.5964581728,0.42526489323487,0.650344271482923,54.5,40.057056,-74.985169,0.0639974919748821,54500000000000,spring,fall,3.27093105285167,2.16086751940376,2.98637627441988,2.37059637369898,2.66758607474303,40.4,1.8
01467048,0.438788790714573,0.201984795668392,1.82787989932092,4.68462645957817,13.9318303761411,summer,summer,spring,fall,12.5626129116093,800.267029020632,1225.82978821255,0.507125755213597,0.652836989862634,129.5,40.050111,-75.032671,0.0668062419412297,129500000000000,summer,fall,2.60677329777367,1.49250311858586,2.33841843438869,1.68528775812514,1.98181887115921,70.1,3.1
01467081,0.345975695667292,0.189049229927383,1.67690941457191,3.46692051849924,12.7038659940487,summer,summer,spring,fall,12.9491963531074,815.308742799435,1200.71081673304,0.602356827275123,0.679021735656361,23.1,39.941667,-75.001111,0.0545772880062957,23100000000000,summer,fall,1.98927142698986,1.63166946527382,2.25513486502223,1.64759218890724,1.86297699444495,18.6,0.9
01472198,0.527464813156182,0.197167813490863,2.09004759839725,5.85521551638544,12.0198955548943,winter,summer,spring,summer,10.9125583682826,726.762134050937,1259.27789656639,0.46611884079471,0.577126094273999,97.5,40.393988,-75.515459,0.110504981168121,97500000000000,fall,winter,2.24565394935077,1.0874043418974,2.0275572945652,1.36894191397642,1.59006579855441,188.8,7.6
01472620,0.709714820702436,0.258914947349709,2.24185813157398,22.2802162509053,8.66433874096896,fall,summer,summer,winter,11.196006765485,739.511381494121,1249.0482912461,1.89146089668744,0.592059880051839,10.5,40.403993,-75.234342,0.103000485678936,10500000000000,summer,winter,0.914782896889246,0.913312735371304,0.792028470705784,1.03034885673392,0.921717965385883,126.8,2.4
01473169,0.668165640649096,0.392959606752093,1.27638652433279,3.10246043734566,12.9050313120363,fall,summer,spring,summer,11.6047331327457,758.055510588908,1180.05402954121,0.483587580253591,0.642390510613849,54,40.079274,-75.460748,0.0881033148594593,54000000000000,summer,summer,2.01564758071205,0.960717165292326,1.62607650414833,1.13602963012502,1.41641972066174,107.3,5.7
01475850,0.546550957298912,0.203883514756198,1.76711290804697,8.88243704941706,13.4154515533016,fall,summer,spring,summer,11.7749597611423,765.867899520984,1196.11612838109,0.442332864462968,0.640295604539306,41,39.976499,-75.436586,0.0860628392220977,41000000000000,summer,fall,2.5142709015603,1.30135477686877,2.21654197031018,1.45079439825429,1.77674848099928,127.1,4.3
01476480,0.533782218754273,0.183727435386812,1.95948256288048,11.0001309470239,13.1168067296981,fall,summer,spring,fall,12.1046886428932,780.733168938574,1190.89182876348,0.432655007657079,0.655586972789309,78.4,39.916223,-75.40325,0.0804515059053636,78400000000000,summer,fall,2.58020586102407,1.19113307676331,2.2307623805414,1.322411912367,1.73155034789433,113.2,5.2
01477800,0.181110202463162,0.0511620675379925,2.65798560636231,6.53310962635629,17.8454938724726,fall,fall,spring,fall,12.4883909510221,795.19241579693,1224.72860908508,0.425533407121572,0.649280509900859,18.9,39.760972,-75.518694,0.0631360767202076,18900000000000,summer,fall,4.34098905406248,2.79408624449264,4.45627487708638,2.66142350894538,3.42285328068969,82.9,2.3
01478000,0.356601692434625,0.128651597829765,2.03923523130162,8.72780724479354,15.2705676436096,fall,fall,spring,fall,12.4948286708483,795.030838775996,1192.21079386075,0.421225516023259,0.666854253350146,54,39.637389,-75.727889,0.0623258734933088,54000000000000,summer,winter,3.34921054225105,1.91055020556768,3.34305694555316,2.14897316975759,2.54894149617652,57.3,2.7
01480000,0.603487127962099,0.280104884062313,1.77123057921402,5.44759830955798,13.0911353463354,fall,fall,spring,fall,11.8523053452508,765.122802902641,1213.29278915326,0.402936022078763,0.630616789074144,122.6,39.762806,-75.6365,0.0824275466597323,122600000000000,summer,fall,2.4458495836245,1.10745910535854,1.85308916203571,1.30829990475734,1.61007890736957,101.8,5.0
01480015,0.586046656951929,0.274322071963591,1.70221298762171,5.28170713213525,13.7911688968551,fall,fall,spring,summer,11.9426025132007,769.250687050062,1212.54660252818,0.425052865707811,0.634409172765946,135.9,39.71575,-75.639944,0.0808174693519459,135900000000000,summer,fall,2.73164017387224,1.18726963856896,2.09347860158223,1.3487010512994,1.78647578495446,97.2,4.9
01480300,0.487422852133592,0.236907817982865,1.5620207362844,7.53980325851736,13.4348084417072,fall,summer,winter,summer,11.2462698746171,738.461728641238,1184.56594182385,0.447233914837941,0.623402803143441,47.7,40.072879,-75.860774,0.0929478005814111,47700000000000,fall,summer,2.58122771500031,1.52412378726887,2.43965134534784,1.71655870801133,1.99486153622593,220.1,3.8
01480675,0.44969402540032,0.125571202057511,2.49022987070382,9.58780823168821,10.9423228526644,summer,summer,spring,summer,11.1313086561357,732.741480349483,1245.09305032094,0.431636257450769,0.58850338949415,22.1,40.097879,-75.741599,0.105578384053842,22100000000000,summer,fall,1.94117128936882,1.19970404952388,1.96716954113322,1.31398308961639,1.53670132492678,181.9,5.1
01485000,0.48637220417143,0.0942081462367524,3.27593859987943,8.6670927104485,11.2720210995205,summer,summer,winter,summer,13.7876891985371,840.132454946493,1158.09140459498,0.413517845283323,0.725445721825656,137.9,38.388889,-75.324444,0.02229836091893,137900000000000,summer,fall,2.13704651154123,1.21810817064797,2.4867959872684,1.15609451861838,1.58339621275037,11.9,0.0
01485500,0.396797055948335,0.0428067007844652,3.71812106274211,8.56685765686122,12.6440676524974,fall,summer,winter,summer,13.9208156369005,845.124229304406,1162.20635504372,0.2959993957433,0.727172266471228,141.5,38.228917,-75.471444,0.0196454937816565,141500000000000,summer,spring,2.92064945590717,1.51279903516975,3.15354725028191,1.30272817551238,1.94210174273592,13.5,0.1
01487000,0.784786010499699,0.270692758786257,2.21811642080244,4.26344574764385,8.35370152589241,spring,summer,spring,summer,13.4570321646653,828.531937158112,1145.62069842563,0.399631052352093,0.723216626844053,187.4,38.728333,-75.561861,0.0311759073541962,187400000000000,fall,fall,1.20970723508192,0.681002276439489,0.980030460950244,0.782175729254223,0.922488854071796,14.2,0.1
01488500,0.561958590814266,0.156280566323295,2.48517292748942,6.96394633583209,12.1417319286414,fall,summer,spring,summer,13.4037434610557,827.647451066813,1167.06383717259,0.348377137495055,0.709170676620337,125.3,38.849694,-75.673111,0.0311405819598406,125300000000000,fall,fall,2.66510698918842,1.38803421265593,2.34943379207149,1.41085008785543,1.80645861126266,16.6,0.0
01493500,0.504228757109074,0.273519999229051,1.21536358689716,10.1586248510886,18.6309341330025,fall,summer,winter,summer,13.1180005459911,820.677036898596,1151.84677876234,0.280615099820917,0.712488025343452,33,39.280028,-76.014556,0.0386438386533458,33000000000000,spring,winter,6.07446879009095,1.50690843359817,2.95513332028279,1.72323092555052,3.27733037941256,16.9,0.5
